🐦️｜满天星悦来开心/星星影视,#genre#
介绍说明,https://cccimg.com/view.php/ec99cb47b9a978619401416b1cc2aa6f.mp4
四喜丸子乐队《百家姓》音乐,https://vdse.bdstatic.com//7030ed5803276abb10dd1dcd798f236a.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2023-11-04T13%3A17%3A17Z%2F-1%2Fhost%2F25f974682c26905199714cc32ef3035beec5f8f295c868afbc49a59d60bdf8f2
四喜丸子乐队《蜀汉无双》音乐,https://us-xpc11.xpccdn.com/3eda94c1-b35a-49a0-8d88-bd7006ff0841.mp4
四喜丸子乐队《魏武独尊》音乐,https://vdse.bdstatic.com//9792319d3d93eae1fa9934b2f5c4c149.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2023-11-04T09%3A31%3A46Z%2F-1%2Fhost%2Ffa98f33c63b4cce3b97a0c93ab3925f114d1bb5691df29045697f9ba67ef9363
少年霜《麒麟》音乐,https://vdse.bdstatic.com//090a11f88eb3c57c7d5482b56c3cdacb.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2023-11-04T11%3A24%3A41Z%2F-1%2Fhost%2Fd13ca0af13c4735fb89ea9403e27deb5928b940e9651ff23449ca9bf86d694ce
少年霜《花粉症》音乐,https://vdse.bdstatic.com//e0fea407bd264dd1e7833cf8901178cb.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2023-11-03T03%3A09%3A14Z%2F-1%2Fhost%2Fa0983dd9c76d1b524da42c0c53e2a1e8533d35816e2454e0c363b8e7bcd65907

🇨🇳｜️体育节目,#genre#	
【全场回顾】2024.02.18第四届冬青奥会江原冬青奥会开幕式,https://vdse.bdstatic.com//78cf3a3f9c3b05e43dd42df849fb5ad5.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2024-02-19T07%3A58%3A28Z%2F-1%2Fhost%2Fc9e7b0faf3a8bd50661aa8434ab5b5c0f359664a0e72f84e40a4a859c007eade
【全场回顾】2023.10.08杭州第19届亚洲运动会闭幕式,https://vdse.bdstatic.com//39a35775da131dfada301e3bb621029a.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2023-11-04T02%3A04%3A16Z%2F-1%2Fhost%2Fd4d294dc45c100338cddf7821581dd1f92c7a5620ca9ade397e8ebeb9d50a360
【全场回顾】2023.09.23杭州第19届亚洲运动会开幕式,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_3440682307_8629014299/merged_1695478206962_41916_60_7042.m3u8

🇨🇳｜️央视频道1,#genre#	
广电重温经典,http://php.jdshipin.com:8880/TVOD/iptv.php?id=cwjd
CCTV-4K,http://bkbktlivecloud-cdn.ysp.cctv.cn/ysp/2024081303.m3u8
CCTV-4K备,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/playlist.m3u8
CCTV-8K,http://bkbktlivecloud-cdn.ysp.cctv.cn/ysp/2020603421.m3u8
中国天气,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8
CCTV1,http://116.162.6.191/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225490/index.m3u8
CCTV2,https://node1.olelive.com:6443/live/CCTV2HD/hls.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://4747d9.netsite.cc/proxy/488588922/488588922.m3u8
CCTV4美洲,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8
CCTV5,https://node1.olelive.com:6443/live/CCTV5HD/hls.m3u8
CCTV5+,https://node1.olelive.com:6443/live/CCTV5PHD/hls.m3u8
CCTV6,http://183.92.4.163:4000/udp/228.0.0.157:7157
CCTV7,http://61.51.140.138:8888/rtp/239.3.1.61:8104
CCTV8,https://node1.olelive.com:6443/live/CCTV8HD/hls.m3u8
CCTV9,https://node1.olelive.com:6443/live/CCTV9HD/hls.m3u8
CCTV10,http://4747d9.netsite.cc/proxy/1288910059/1288910059.m3u8
CCTV11,http://4747d9.netsite.cc/proxy/1263246901/1263246901.m3u8
CCTV12,http://4747d9.netsite.cc/proxy/479563435/479563435.m3u8
CCTV13,https://node1.olelive.com:6443/live/CCTV13HD/hls.m3u8
CCTV14,http://4747d9.netsite.cc/proxy/329783189/329783189.m3u8
CCTV15,http://4747d9.netsite.cc/proxy/518544399/518544399.m3u8
CCTV16,http://116.162.6.191/1301-txt.otvstream.otvcloud.com/otv/skcc/live/channel116/index.m3u8

🇨🇳｜️央视频道2,#genre#	
广电重温经典,http://php.jdshipin.com:8880/TVOD/iptv.php?id=cwjd
CCTV-4K,http://bkbktlivecloud-cdn.ysp.cctv.cn/ysp/2024081303.m3u8
CCTV-4K备,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/playlist.m3u8
CCTV-8K,http://bkbktlivecloud-cdn.ysp.cctv.cn/ysp/2020603421.m3u8
中国天气,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8
CCTV1,http://183.184.149.113:8001/rtp/226.0.2.153:9136
CCTV2,http://183.184.149.113:8001/rtp/226.0.2.154:9144
CCTV3,http://183.184.149.113:8001/rtp/226.0.2.208:9576
CCTV4,http://183.184.149.113:8001/rtp/226.0.2.156:9160
CCTV5,http://183.184.149.113:8001/rtp/226.0.2.209:9584
CCTV5+,http://183.184.149.113:8001/rtp/226.0.2.168:9256
CCTV6,http://183.184.149.113:8001/rtp/226.0.2.210:9592
